gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC127118062,2718.097191,-7.051813034,0.577372544,-12.21362726,2.62901508689898e-34,3.18215986118252e-30
LOC127127013,645.1034589,7.116469173,0.826674595,8.608549499,7.39908091096904e-18,4.47792376731846e-14
LOC127127014,989.9162052,7.815662441,0.954562911,8.187687112,2.66294031051324e-16,1.07440765061507e-12
LOC127084243,640.3563289,7.375020996,0.913570902,8.072740688,6.87374915030651e-16,2.07999649288275e-12
LOC127118074,425.3465769,-12.71174827,1.593448862,-7.97750626,1.49319333434775e-15,3.61472242378904e-12
LOC127083943,1788.339746,4.766250341,0.605387057,7.873062844,3.46062707294633e-15,6.98123834849039e-12
LOC127124357,194.7191262,-7.83645679,1.018616699,-7.693234162,1.43461605916299e-14,2.48065611144412e-11
LOC127096736,157.6713229,-7.478386088,1.051266277,-7.113693509,1.12977893074437e-12,1.38096661551717e-09
LOC127118070,143.5293018,-8.111602263,1.137863332,-7.12880188,1.01246340446981e-12,1.38096661551717e-09
LOC127118073,268.8179331,-9.58699825,1.347938685,-7.112340015,1.14091756073791e-12,1.38096661551717e-09
LOC127085766,1327.96903,6.132929725,0.889789949,6.892559004,5.47975506998408e-12,6.02972321518975e-09
LOC127074704,88.62734235,-7.396004704,1.110924625,-6.657521616,2.78483459346607e-11,2.80896982660944e-08
LOC127108490,834.250234,-3.927491674,0.592218759,-6.631825844,3.31559648021795e-11,3.087075368966e-08
LOC127082004,122.1246683,-10.92016965,1.654058474,-6.602045707,4.0552243222899e-11,3.50603108549978e-08
LOC127106284,91.55129929,-8.049864879,1.223608563,-6.578790902,4.74289199099907e-11,3.82719764393685e-08
LOC127124232,82.64899435,-6.873666211,1.055778313,-6.510520371,7.48909113674659e-11,5.6654974449488e-08
LOC127120435,139.4408915,4.930676982,0.794953853,6.202469443,5.55839797001177e-10,3.95757935464838e-07
LOC127117957,147.0011918,-8.72202769,1.441931165,-6.048851638,1.45881921969307e-09,9.80974879731385e-07
LOC127105163,114.2950864,4.877597733,0.808341843,6.034078002,1.59872831757815e-09,1.01847408189294e-06
LOC127075569,99.613625,-5.815568538,0.966220179,-6.01888541,1.75622134518605e-09,1.0628651581066e-06
LOC127082487,656.6500847,3.880347981,0.653942743,5.933773288,2.96050563000397e-09,1.70637905455086e-06
LOC127074010,51.2104044,-9.66644045,1.638845123,-5.898324567,3.67211109637521e-09,2.02032875956934e-06
LOC127105069,50.49112397,-9.632161517,1.635714176,-5.888658092,3.89343991572463e-09,2.04896507564917e-06
LOC127091850,97.40945271,5.785053732,0.986167264,5.866199319,4.45897740491735e-09,2.16269433342427e-06
LOC127108315,130.3216376,6.319398326,1.07731007,5.865904816,4.46690006077386e-09,2.16269433342427e-06
LOC127098516,457.6601712,-4.77522192,0.817397226,-5.841984493,5.15826091646266e-09,2.401368851264e-06
LOC127085270,102.7294892,6.32768602,1.090247072,5.803900955,6.47895575298471e-09,2.90449186793063e-06
LOC127075578,116.3175421,5.453299629,0.945182838,5.769571145,7.94735208589469e-09,3.43552677313105e-06
LOC127083343,250.609785,4.511912137,0.782869804,5.763298204,8.24858635142575e-09,3.44278928267784e-06
LOC127126703,93.91635457,9.517603127,1.659392653,5.735594351,9.71709790145068e-09,3.92052509997197e-06
LOC127073587,81.72420759,9.316948506,1.630716247,5.713408768,1.10735252520356e-08,4.32367579518191e-06
LOC127082484,74.86277319,5.453155407,0.957841321,5.693172021,1.24700635871949e-08,4.71680155185648e-06
LOC127107607,41.51858588,-5.580780598,0.999309525,-5.584636651,2.34189315212572e-08,8.58978021616051e-06
LOC127086342,100.1806272,-9.187728995,1.668930086,-5.505161104,3.68830826672109e-08,1.24009120167756e-05
LOC127092435,70.12843469,6.987391548,1.268541108,5.508210578,3.62499621673932e-08,1.24009120167756e-05
LOC127126795,43.04176142,-4.741521603,0.861138288,-5.506109378,3.66850652726567e-08,1.24009120167756e-05
LOC127092571,75.96681545,4.997310915,0.910405065,5.489107111,4.03970610121219e-08,1.32152980132628e-05
LOC127073989,41.64999807,-9.340410436,1.713395859,-5.451402481,4.99741235668715e-08,1.55099177347029e-05
LOC127085378,72.94599707,5.571309712,1.02155001,5.453780685,4.93100125633488e-08,1.55099177347029e-05
LOC127128740,98.10588789,4.262777991,0.783434597,5.44114085,5.29404349651545e-08,1.60197756204557e-05
LOC127076513,32.6699259,-9.001598326,1.663663374,-5.410708962,6.27757239268338e-08,1.85326185953755e-05
LOC127073803,481.5746214,-4.097483704,0.757921345,-5.406212308,6.43714890320374e-08,1.85512500772329e-05
LOC127122991,94.08286883,-5.919957062,1.096298694,-5.399949022,6.66598363796935e-08,1.87639688265072e-05
LOC127078134,101.5308511,-4.541774398,0.843233216,-5.386142661,7.19858337922071e-08,1.98026484595653e-05
LOC127128532,80.39598197,4.24556001,0.790049279,5.373791386,7.7098052567876e-08,2.07376628507016e-05
LOC127083979,36.61784926,-5.688399808,1.061709495,-5.357774265,8.42534131552807e-08,2.21696372354678e-05
LOC127100583,39.82479114,-4.787693508,0.898750462,-5.32705541,9.98177204833909e-08,2.57062486964035e-05
LOC127076171,95.09298525,3.853043026,0.72581527,5.308572561,1.10487099666887e-07,2.67766572159987e-05
LOC127078837,130.4334266,-3.863150918,0.727561748,-5.309722413,1.09792326226252e-07,2.67766572159987e-05
LOC127108198,40.26547737,-5.486914662,1.033634826,-5.308368606,1.10610778321211e-07,2.67766572159987e-05
LOC127124341,32.8252232,-8.996656723,1.697600341,-5.299631784,1.16036457150555e-07,2.70097168721214e-05
